Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2013-08-10 00:00,1.148,0.013,0,0,0,0,v
2013-08-10 00:06,1.194,0.013,0,0,0,0,v
2013-08-10 00:12,1.217,0.013,0,0,0,0,v
2013-08-10 00:18,1.270,0.016,0,0,0,0,v
2013-08-10 00:24,1.345,0.016,0,0,0,0,v
2013-08-10 00:30,1.447,0.016,0,0,0,0,v
2013-08-10 00:36,1.572,0.023,0,0,0,0,v
2013-08-10 00:42,1.699,0.016,0,0,0,0,v
2013-08-10 00:48,1.732,0.013,0,0,0,0,v
2013-08-10 00:54,1.834,0.020,0,0,0,0,v
2013-08-10 01:00,1.942,0.023,0,0,0,0,v
2013-08-10 01:06,2.087,0.026,0,0,0,0,v
2013-08-10 01:12,2.244,0.026,0,0,0,0,v
2013-08-10 01:18,2.405,0.026,0,0,0,0,v
2013-08-10 01:24,2.572,0.026,0,0,0,0,v
2013-08-10 01:30,2.749,0.023,0,0,0,0,v
2013-08-10 01:36,2.946,0.033,0,0,0,0,v
2013-08-10 01:42,3.140,0.026,0,0,0,0,v
2013-08-10 01:48,3.310,0.030,0,0,0,0,v
2013-08-10 01:54,3.530,0.026,0,0,0,0,v
2013-08-10 02:00,3.704,0.030,0,0,0,0,v
2013-08-10 02:06,3.924,0.030,0,0,0,0,v
2013-08-10 02:12,4.134,0.030,0,0,0,0,v
2013-08-10 02:18,4.308,0.030,0,0,0,0,v
2013-08-10 02:24,4.541,0.043,0,0,0,0,v
2013-08-10 02:30,4.774,0.033,0,0,0,0,v
2013-08-10 02:36,5.007,0.039,0,0,0,0,v
2013-08-10 02:42,5.220,0.033,0,0,0,0,v
2013-08-10 02:48,5.463,0.039,0,0,0,0,v
2013-08-10 02:54,5.679,0.033,0,0,0,0,v
2013-08-10 03:00,5.883,0.030,0,0,0,0,v
2013-08-10 03:06,6.070,0.036,0,0,0,0,v
2013-08-10 03:12,6.293,0.036,0,0,0,0,v
2013-08-10 03:18,6.516,0.030,0,0,0,0,v
2013-08-10 03:24,6.745,0.036,0,0,0,0,v
2013-08-10 03:30,6.946,0.033,0,0,0,0,v
2013-08-10 03:36,7.156,0.033,0,0,0,0,v
2013-08-10 03:42,7.326,0.030,0,0,0,0,v
2013-08-10 03:48,7.516,0.033,0,0,0,0,v
2013-08-10 03:54,7.710,0.036,0,0,0,0,v
2013-08-10 04:00,7.894,0.039,0,0,0,0,v
2013-08-10 04:06,8.068,0.046,0,0,0,0,v
